from,to,relationship,time,end,,
Ranthonyskitchen,Ranthonyskitchen,,,,,
marphi,marphi,,,,,
Rcasala,Rcasala,,,,,
andhil,andhil,,,,,
Rdasmarktrestaurant,Rdasmarktrestaurant,,,,,
margam,margam,,,,,
Racquarello,Racquarello,,,,,
flober,flober,,,,,
Rgabelspiel,Rgabelspiel,,,,,
natleb,natleb,,,,,
Rlesdeux,Rlesdeux,,,,,
martau,martau,,,,,
Rmountainhubgourmet,Rmountainhubgourmet,,,,,
joslei,joslei,,,,,
Rmural,Rmural,,,,,
domkäp,domkäp,,,,,
tobbac,tobbac,,,,,
Rshowroom,Rshowroom,,,,,
jürwol,jürwol,,,,,
Rsparklingbistro,Rsparklingbistro,,,,,
Rtantrisdna,Rtantrisdna,,,,,
sigsch,sigsch,,,,,
Rwerneckhofsigischelling,Rwerneckhofsigischelling,,,,,
harrüs,harrüs,,,,,
Rrüsselslandhaus,Rrüsselslandhaus,,,,,
claurr,claurr,,,,,
Raltebaiz,Raltebaiz,,,,,
chrdet,chrdet,,,,,
olisch,olisch,,,,,
Rletemple,Rletemple,,,,,
tobschl,tobschl,,,,,
herbro,herbro,,,,,
Rburgnideggenbrockelschlimbach,Rburgnideggenbrockelschlimbach,,,,,
thogil,thogil,,,,,
Rclostermannslegourmet,Rclostermannslegourmet,,,,,
matach,matach,,,,,
Rbuchnerwelchenberg1658,Rbuchnerwelchenberg1658,,,,,
markeb,markeb,,,,,
Rseesteg,Rseesteg,,,,,
joakai,joakai,,,,,
Rwirtshausmeyerskeller,Rwirtshausmeyerskeller,,,,,
fabden,fabden,,,,,
Rentenstuben,Rentenstuben,,,,,
felbru,felbru,,,,,
Rkochundkellner,Rkochundkellner,,,,,
vadkar,vadkar,,,,,
Rveles,Rveles,,,,,
valrot,valrot,,,,,
Rwaidwerk,Rwaidwerk,,,,,
stemei,stemei,,,,,
Rzweisinnmeiersfinedining,Rzweisinnmeiersfinedining,,,,,
petstr,petstr,,,,,
Ressatelierstrauss,Ressatelierstrauss,,,,,
chrwil,chrwil,,,,,
alewil,alewil,,,,,
Rzurpost,Rzurpost,,,,,
flowag,flowag,,,,,
Rsilberdistel,Rsilberdistel,,,,,
johwuh,johwuh,,,,,
larkei,larkei,,,,,
Rfriedrich,Rfriedrich,,,,,
ranjon,ranjon,,,,,
Rkesselhaus,Rkesselhaus,,,,,
elmsim,elmsim,,,,,
Rbalthasar,Rbalthasar,,,,,
micamm,micamm,,,,,
Rgasthausjakob,Rgasthausjakob,,,,,
simsch,simsch,,,,,
Rpavoimburghotelfalkenstein,Rpavoimburghotelfalkenstein,,,,,
vjepav,vjepav,,,,,
Rdiebrasserie,Rdiebrasserie,,,,,
alehub,alehub,,,,,
Rhuberwirt,Rhuberwirt,,,,,
davsch,davsch,,,,,
Rkochzimmerindergaststättezurratswaage,Rkochzimmerindergaststättezurratswaage,,,,,
torsch,torsch,,,,,
Rnagaya,Rnagaya,,,,,
Rgutlärchenhof,Rgutlärchenhof,,,,,
holber,holber,,,,,
Rateliersanssouci,Rateliersanssouci,,,,,
marlan,marlan,,,,,
steher,steher,,,,,
Rlandhausfeckl,Rlandhausfeckl,,,,,
frafec,frafec,,,,,
antsch,antsch,,,,,
atssug,atssug,,,,,
Rstorstad,Rstorstad,,,,,
Rroterhahn,Rroterhahn,,,,,
maxsch,maxsch,,,,,
joswei,joswei,,,,,
Rreuter,Rreuter,,,,,
iribet,iribet,,,,,
Rgourmetrestaurantderbutt,Rgourmetrestaurantderbutt,,,,,
andmün,andmün,,,,,
thohei,thohei,,,,,
Rgutshausstolpe,Rgutshausstolpe,,,,,
holstr,holstr,,,,,
Rhaubentaucher,Rhaubentaucher,,,,,
aloneu,aloneu,,,,,
Rfreustil,Rfreustil,,,,,
ralhau,ralhau,,,,,
Rgenussapotheke,Rgenussapotheke,,,,,
raipil,raipil,,,,,
Rgourmetrestaurantfinediningrs,Rgourmetrestaurantfinediningrs,,,,,
marwai,marwai,,,,,
rolstr,rolstr,,,,,
Rkunzgourmet,Rkunzgourmet,,,,,
alekun,alekun,,,,,
patjen,patjen,,,,,
Rdiva,Rdiva,,,,,
gunehi,gunehi,,,,,
Rschwarzerhahn,Rschwarzerhahn,,,,,
hanste,hanste,,,,,
Rcarrousel,Rcarrousel,,,,,
Roberländerweinstube,Roberländerweinstube,,,,,
robhau,robhau,,,,,
Rjuwel,Rjuwel,,,,,
Rhofstube,Rhofstube,,,,,
felweb,felweb,,,,,
Rgourmetrestaurantnicoburkhardt,Rgourmetrestaurantnicoburkhardt,,,,,
nicbur,nicbur,,,,,
karhau,karhau,,,,,
joswol,joswol,,,,,
Reisenbahn,Reisenbahn,,,,,
Rreberspflug,Rreberspflug,,,,,
vinkli,vinkli,,,,,
hanreb,hanreb,,,,,
berdie,berdie,,,,,
sebkau,sebkau,,,,,
Rkaupersrestaurantimkapellenhof,Rkaupersrestaurantimkapellenhof,,,,,
juaama,juaama,,,,,
Ramador,Ramador,,,,,
Rjungborn,Rjungborn,,,,,
phihel,phihel,,,,,
Rphilipp,Rphilipp,,,,,
micphi,micphi,,,,,
frisch,frisch,,,,,
gerwin,gerwin,,,,,
Rhirsch,Rhirsch,,,,,
Raubergine,Raubergine,,,,,
maxmos,maxmos,,,,,
Rfünf,Rfünf,,,,,
aledin,aledin,,,,,
Rdelice,Rdelice,,,,,
andhet,andhet,,,,,
Rderzauberlehrling,Rderzauberlehrling,,,,,
fabhel,fabhel,,,,,
michup,michup,,,,,
Rhupperts,Rhupperts,,,,,
benben,benben,,,,,
Rritzigourmet,Rritzigourmet,,,,,
micoet,micoet,,,,,
Roettingersrestaurant,Roettingersrestaurant,,,,,
ralkne,ralkne,,,,,
Rerbprinz,Rerbprinz,,,,,
jörnet,jörnet,,,,,
Rwielandshöhe,Rwielandshöhe,,,,,
felgab,felgab,,,,,
Rkai3,Rkai3,,,,,
Rbodendorfs,Rbodendorfs,,,,,
holbod,holbod,,,,,
Rgourmetrestaurantberlinskrone,Rgourmetrestaurantberlinskrone,,,,,
fraber,fraber,,,,,
Roswaldsgourmetstube,Roswaldsgourmetstube,,,,,
thoger,thoger,,,,,
denbrü,denbrü,,,,,
Rorangerie,Rorangerie,,,,,
lutnie,lutnie,,,,,
tholem,tholem,,,,,
Rbeckers,Rbeckers,,,,,
wolbec,wolbec,,,,,
Rweinundtafelhaus,Rweinundtafelhaus,,,,,
aleoos,aleoos,,,,,
Ranima,Ranima,,,,,
heilac,heilac,,,,,
Rschlossfilseck,Rschlossfilseck,,,,,
dancor,dancor,,,,,
Rseestern,Rseestern,,,,,
klabud,klabud,,,,,
benwit,benwit,,,,,
Rsiedepunkt,Rsiedepunkt,,,,,
henfri,henfri,,,,,
Rkulmeckbytomwickboldt,Rkulmeckbytomwickboldt,,,,,
tomwic,tomwic,,,,,
Rtheoroom,Rtheoroom,,,,,
andkäh,andkäh,,,,,
Rlammrosswag,Rlammrosswag,,,,,
sterug,sterug,,,,,
Rhausstemberg,Rhausstemberg,,,,,
sasste,sasste,,,,,
Rschwarzeradler,Rschwarzeradler,,,,,
Rweinstock,Rweinstock,,,,,
corfis,corfis,,,,,
Rbachofer,Rbachofer,,,,,
berbac,berbac,,,,,
Rschwitzersgourmetrestaurant,Rschwitzersgourmetrestaurant,,,,,
cedsch,cedsch,,,,,
Rgasthofkrone,Rgasthofkrone,,,,,
erimet,erimet,,,,,
Rjohanns,Rjohanns,,,,,
micrei,micrei,,,,,
Rlaurentius,Rlaurentius,,,,,
jürkoc,jürkoc,,,,,
Rzeitgeist,Rzeitgeist,,,,,
sebsyr,sebsyr,,,,,
holste,holste,,,,,
Radmiral,Radmiral,,,,,
Ralteüberfahrt,Ralteüberfahrt,,,,,
thohüb,thohüb,,,,,
Rpietsch,Rpietsch,,,,,
Rzeitwerk,Rzeitwerk,,,,,
robpie,robpie,,,,,
Rente,Rente,,,,,
mickam,mickam,,,,,
Rshiraz,Rshiraz,,,,,
alehop,alehop,,,,,
Rkuno1408,Rkuno1408,,,,,
patgri,patgri,,,,,
robhof,robhof,,,,,
Rlandhausköpp,Rlandhausköpp,,,,,
jürkop,jürkop,,,,,
Rapicius,Rapicius,,,,,
timext,timext,,,,,
Raltepfarrey,Raltepfarrey,,,,,
Rfalco,Rfalco,,,,,
maigeh,maigeh,,,,,
petsch,petsch,,,,,
Rsäpfle,Rsäpfle,,,,,
aljfüt,aljfüt,,,,,
Rhirschgasselegourmet,Rhirschgasselegourmet,,,,,
Rschwingshacklesskulturgourmet,Rschwingshacklesskulturgourmet,,,,,
Rsanmartino,Rsanmartino,,,,,
Rmarly,Rmarly,,,,,
Rrestauranturgestein,Rrestauranturgestein,,,,,
Rdasmaximilians,Rdasmaximilians,,,,,
Rrestaurant1797,Rrestaurant1797,,,,,
Raska,Raska,,,,,
marsau,marsau,,,,,
erischw,erischw,,,,,
jocfec,jocfec,,,,,
grerup,grerup,,,,,
hedrin,hedrin,,,,,
guirig,guirig,,,,,
