from,to,relationship,time,end,,
tobbät,Raurabyalexanderherrmanntobiasbätz,3,2009,x,,tobbät Raurabyalexanderherrmanntobiasbätz 3
tobbät,Raurabyalexanderherrmanntobiasbätz,6,2008,x,,tobbät Raurabyalexanderherrmanntobiasbätz 6
aleher,tobbät,2,2008,x,,aleher tobbät 2
borrom,Rlecerf,3,2016,x,,borrom Rlecerf 3
borrom,Rrestaurantbareiss,6,NA,NA,,borrom Rrestaurantbareiss 6
clalum,borrom,2,NA,NA,,clalum borrom 2
zsofod,Raloisdallmayrfinedining,6,NA,NA,,zsofod Raloisdallmayrfinedining 6
zsofod,Rsolodu,3,2022,x,,zsofod Rsolodu 3
dansch2,Rmasters,3,2020,x,,dansch2 Rmasters 3
jasgro,Rdieburg,3,2017,x,,jasgro Rdieburg 3
Röschnoir,jasgro,4,2008,2011,,Röschnoir jasgro 4
benkri,Rpinkpepper,3,2022,x,,benkri Rpinkpepper 3
benkri,Rpinkpepper,5,2022,x,,benkri Rpinkpepper 5
benkri,Rrestaurantüberfahrtchristianjürgens,6,2012,2014,,benkri Rrestaurantüberfahrtchristianjürgens 6
chrjür,benkri,2,2012,2014,,chrjür benkri 2
markaz,Rdasgarboimlöwen,3,2017,x,,markaz Rdasgarboimlöwen 3
chrwei,Rclararestaurantimkaisersaal,3,2021,x,,chrwei Rclararestaurantimkaisersaal 3
Rlandhausscherrer,chrwei,4,NA,NA,,Rlandhausscherrer chrwei 4
heiweh,chrwei,1,NA,NA,,heiweh chrwei 1
chrwei,Rkai3,6,2021,2021,,chrwei Rkai3 6
felgab,chrwei,2,2021,2021,,felgab chrwei 2
jürket,Rkettnerskamota,3,NA,NA,,jürket Rkettnerskamota 3
jürket,Rkettnerskamota,5,NA,NA,,jürket Rkettnerskamota 5
jürket,Rvictorsfinediningbychristianbau,6,NA,NA,,jürket Rvictorsfinediningbychristianbau 6
chrbau,jürket,2,NA,NA,,chrbau jürket 2
jürket,Resplanade,6,NA,NA,,jürket Resplanade 6
silfab,jürket,2,NA,NA,,silfab jürket 2
patlöh,Rbidlabu,3,2022,x,,patlöh Rbidlabu 3
patlöh,Rbidlabu,6,2018,2022,,patlöh Rbidlabu 6
patlöh,Rschwarzeradler,6,2013,2018,,patlöh Rschwarzeradler 6
patlöh,Rweinsinn,6,2018,2018,,patlöh Rweinsinn 6
jocbus,patlöh,2,2018,2018,,jocbus patlöh 2
manwim,Rgourmetrestaurantimkarner,3,2022,x,,manwim Rgourmetrestaurantimkarner 3
henwei,Rcolombirestaurant,3,2022,x,,henwei Rcolombirestaurant 3
henwei,Rletable,3,2019,2020,,henwei Rletable 3
henwei,Rdasmaximilians,3,2020,2022,,henwei Rdasmaximilians 3
sveusi,Rcolombirestaurant,3,2022,x,,sveusi Rcolombirestaurant 3
sveusi,Rcolombirestaurant,6,2019,2022,,sveusi Rcolombirestaurant 6
sveusi,Rrestaurantbareiss,6,NA,NA,,sveusi Rrestaurantbareiss 6
clalum,sveusi,2,NA,NA,,clalum sveusi 2
frecam,Reichhalde,3,NA,NA,,frecam Reichhalde 3
marfau,Rwolfshöhle,3,2022,x,,marfau Rwolfshöhle 3
marfau,Rtantris,6,1997,NA,,marfau Rtantris 6
hanhaa,marfau,2,1997,NA,,hanhaa marfau 2
frakel,marfau,2,2021,2021,,frakel marfau 2
kevbür,Rhaebel,3,2021,x,,kevbür Rhaebel 3
kevbür,Rlesdeux,6,NA,NA,,kevbür Rlesdeux 6
kevbür,Rhaebel,6,2020,2021,,kevbür Rhaebel 6
davwei,Rverbene,3,NA,NA,,davwei Rverbene 3
Rzurtant,julkom,4,2008,NA,,Rzurtant julkom 4
julkom,Rsahilatherestaurant,3,2022,x,,julkom Rsahilatherestaurant 3
julkom,Rsahilatherestaurant,5,2022,x,,julkom Rsahilatherestaurant 5
julkom,Rschlossloersfeld,3,2016,2018,,julkom Rschlossloersfeld 3
klasch,Rkuultivo,3,NA,NA,,klasch Rkuultivo 3
klasch,Riko,6,NA,NA,,klasch Riko 6
tomels,klasch,2,NA,NA,,tomels klasch 2
tomels,Riko,5,NA,NA,,tomels Riko 5
tomels,Riko,3,NA,NA,,tomels Riko 3
denfei,Rmarburgeresszimmer,3,2022,x,,denfei Rmarburgeresszimmer 3
joawis,denfei,2,1998,1999,,joawis denfei 2
chrbau,denfei,2,2001,2001,,chrbau denfei 2
harbor,Rborst,3,NA,NA,,harbor Rborst 3
maxbor,Rborst,3,NA,NA,,maxbor Rborst 3
harbor,Rborst,5,NA,NA,,harbor Rborst 5
