id,name,type,sex,michelin_rating,0tio0lity,county,alive
Rammolitethelighthouserestaurant,ammolite - The Lighthouse Restaurant,restaurant,0,2,0,bw,0
chrfle,Christian Fleischmann,chef,2,2,deutsch,0,1
silfab,Silio Del Fabro,chef,2,2,deutsch,0,1
Resplanade,Esplanade,restaurant,0,2,0,sl,0
sebsan,Sebastian Sandor,chef,2,2,deutsch,0,1
Rlouisrestaurant,LOUIS restaurant,restaurant,0,2,0,sl,0
stegsc,Stefan Gschwendter,chef,2,2,deutsch,0,1
Rspeisemeisterei,Speisemeisterei,restaurant,0,2,0,bw,0
douste,Douce Steiner,chef,1,2,deutsch,0,1
Rhirschen,Hirschen,restaurant,0,2,0,bw,0
Rsölringhof,Söl'ring Hof,restaurant,0,2,0,sh,0
janber,Jan-Philipp Berner,chef,2,2,deutsch,0,1
frakel,Franz Keller,chef,2,1,deutsch,0,1
chrsch,Christian Scharrer,chef,2,2,deutsch,0,1
Rcourtier,Courtier,restaurant,0,2,0,sh,0
aleher,Alexander Herrmann,chef,2,2,deutsch,0,1
tobbät,Tobias Bätz,chef,2,2,deutsch,0,1
Raurabyalexanderherrmanntobiasbätz,AURA by Alexander Herrmann & Tobias Bätz,restaurant,0,2,0,by,0
Rlecerf,Le Cerf,restaurant,0,2,0,bw,0
Rthenoname,The NOname,restaurant,0,1,0,be,0
timtan,Tim Tanneberger,chef,2,1,deutsch,0,1
borrom,Boris Rommel,chef,2,2,deutsch,0,1
zsofod,Zsolt Fodor,chef,2,1,ungarisch,0,1
Rsolodu,Solo Du,restaurant,0,1,0,by,0
dansch2,Danny Schwabe,chef,2,1,deutsch,0,1
Rmasters,Masters,restaurant,0,1,0,th,0
jasgro,Jason Grom,chef,2,1,deutsch,0,1
Rdieburg,die burg,restaurant,0,1,0,bw,0
benkri,Benjamin Kriegel,chef,2,1,deutsch,0,1
Rpinkpepper,Pink Pepper,restaurant,0,1,0,nw,0
markaz,Marcel Kazda,chef,2,1,0,0,1
Rdasgarboimlöwen,Das garbo im Löwen,restaurant,0,1,0,bw,0
Rclararestaurantimkaisersaal,Clara - Restaurant im Kaisersaal,restaurant,0,1,0,th,0
chrwei,Christopher Weigel,chef,2,1,deutsch,0,1
jürket,Jürgen Kettner,chef,2,1,deutsch,0,1
Rkettnerskamota,Kettner's Kamota,restaurant,0,1,0,th,0
patlöh,Patrick Löhl,chef,2,1,deutsch,0,1
Rbidlabu,bidlabu,restaurant,0,1,0,he,0
manwim,Manuel Wimmer,chef,2,1,deutsch,0,1
Rgourmetrestaurantimkarner,Gourmet Restaurant im Karner,restaurant,0,1,0,by,0
henwei,Henrik Weiser,chef,2,1,deutsch,0,1
