from,to,relationship,time,end
malkuh,Rmalteshiddenkitchen,3,2018,x
stedis,Rgasthauszumraben,5,2005,x
stedis,Rgasthauszumraben,3,2005,x
Rgasthauszumraben,malkuh,6,NA,NA
Rlepavillon,malkuh,4,2011,2013
marher,malkuh,1,2011,2013
Rrestaurantüberfahrtchristianjürgens,malkuh,6,NA,NA
flosto,Rschwarzwaldstube,6,2006,2008
flosto,R1789,3,2020,x
Rschwarzwaldstube,jörsac,4,1977,1982
harwoh,jörsac,1,1977,1982
jörsac,Raubergine,6,1986,1988
jörsac,Rschlossberg,3,1993,x
harwoh,nicsac,1,NA,NA
Rschwarzwaldstube,nicsac,4,NA,NA
nicsac,Rlandhausfeckl,6,NA,NA
nicsac,Rschlossberg,3,NA,NA
frafec,nicsac,2,NA,NA
Rvendome,nicsac,6,NA,NA
joawis,nicsac,2,NA,NA
ulrhei,Rpur,3,2020,NA
andsau,Rbandolsurmer,3,2018,NA
Rrutz,andsau,6,2004,2010
marcmue,andsau,2,2004,2010
stepgar,Rbieberbau,5,NA,NA
jeamat,Rbieberbau,3,NA,NA
stezei,Rbricole,3,NA,NA
nichah,Rcookiescream,3,2023,x 
yansto,Rcordo,3,2018,x 
Rhaerlin,yansto,6,NA,NA
chrrüf,yansto,2,NA,NA
Raqua,yansto,6,NA,NA
sveelv,yansto,2,NA,NA
dylwat,Rernst,3,NA,NA
bjosaw,Rfaelt,3,2020,x 
Rrutz,bjosaw,6,NA,NA
marcmue,bjosaw,2,NA,NA
Rfacil,bjosaw,6,NA,NA
mickem,bjosaw,2,NA,NA
joager,bjosaw,2,NA,NA
Rgutshausstolpe,bjosaw,6,NA,NA
chrsom,bjosaw,2,NA,NA
Rgolvet,bjosaw,6,NA,NA
jonzoe,bjosaw,2,NA,NA
janrze,Rfaelt,3,2023,x 
Rcookiescream,janrze,6,2019,NA
nichah,janrze,2,2019,NA
jonzoe,Rgolvet,3,2018,x 
Rfacil,jonzoe,4,2013,2015
mickem,jonzoe,1,2013,2015
ebelan,Rhugos,3,2015,x
Rlorenzadlonesszimmer,ebelan,4,NA,NA
Rirmaladouce,fracon,3,NA,NA
micschä,Rnobelhartundschmutzig,3,NA,NA
micschä,Rrestaurantvillamerton,6,NA,NA
micschä,phigia,3,NA,NA
galmos,Rprism,3,NA,NA
fracon,Rrichard,3,NA,NA
saskur,Rskykitchen,3,NA,NA
Rlorenzadlonesszimmer,saskur,6,NA,NA
Rvendome,saskur,6,NA,NA
joawis,saskur,2,NA,NA
Rtuluslotrek,maxstr,3,2015,x
benmae,Rmaerz,5,2010,x
clihae,Rhämmerlesrestaurantbarrique,3,1993,x
raihal,Rhalbedelsgasthaus,3,NA,NA
chrstu,Ryunico,3,2011,x
marren,Rsterneck,3,2012,x
Rmaintowerrestaurantundlounge,marren,6,2002,2005
marweg,marren,2,2002,2005
davrin,Rox,3,2019,x
flokuc,Rkuchersgourmet,3,NA,NA
dankle,Rkook36,3,NA,NA
steneu,Rschwarzerhahn,3,2000,x
feljar,Rschwarzerhahn,3,NA,x
bjölei,Rbjörnsox,5,2018,x
jandie,Rjandiekjobstrestaurant,3,2019,x
