from,to,relationship,time,end
dankle,Rkook36,3,99,99
steneu,Rschwarzerhahn,3,2000,9999
feljar,Rschwarzerhahn,3,99,9999
bjölei,Rbjörnsox,5,2018,9999
jandie,Rjandiekjobstrestaurant,3,2019,9999
Rvictorsfinediningbychristianbau,jandie,6,2016,2016
chrbau,jandie,2,2016,2016
Rthetablekevinfehling,jandie,6,2017,2018
kevfeh,jandie,2,2017,2018
matsto,Rostseelounge,3,2022,9999
matsto,Rvendome,6,99,99
joawis,matsto,2,99,99
matsto,Rgourmetrestaurantderbutt,6,2012,99
andmün,matsto,2,2012,99
matsto,Rdiebrasserie,6,2017,99
vjepav,matsto,2,2017,99
andbei,Rostseelounge,3,2022,9999
andbei,Rdiebrasserie,6,2012,2019
vjepav,andbei,2,2012,2019
ronsie,Rfriedrichfranz,3,2008,9999
bjöfrei,Rgoldeneranker,3,1997,9999
Rente,bjöfrei,6,1995,99
mickam,bjöfrei,2,1995,99
fraros,Rrosin,3,1991,9999
dirgram,Rgrammonsrestaurant,3,99,99
micdyl,Rthestage,3,2021,9999
Rschlossloersfeld,micdyl,6,99,99
geomim,micdyl,2,99,99
stemieß,Relements,3,99,99
marblo,Rgenussatelier,3,2014,9999
Rvictorsfinediningbychristianbau,marblo,6,2013,99
chrbau,marblo,2,2013,99
stefhum,Rhummelsgourmetstube,5,2006,9999
Rroterhahn,stefhum,4,1997,99
maxsch,stefhum,1,1997,99
stefhum,Rlandhausfeckl,6,2000,99
frafec,stefhum,2,2000,99
stefhum,Rfalconera,6,2002,99
johwuh,stefhum,2,2002,99
svenoe,Rmodbysvennöthel,3,99,99
dandal,R1876danieldalben,3,99,99
marfoe,Ragatas,3,2021,9999
marfoe,Ranthonyskitchen,6,99,99
antsar,marfoe,2,99,99
voldrk,Rdrkosch,3,2016,9999
voldrk,Rcolombirestaurant,6,1990,1994
henwei,voldrk,2,1990,1994
sveusi,voldrk,2,1990,1994
voldrk,Rtantris,6,1995,1996
benchm,voldrk,2,1995,1996
jeabou,Rimschiffchen,5,1987,9999
dancer,Rleflair,3,99,99
yosnag,Rnagaya,5,2003,9999
phiwol,Rphoenix,3,2016,9999
Rwielandshöhe,phiwol,4,1995,1997
vinkli,phiwol,1,1995,1997
phiwol,Rwaldhotelsonnora,6,1999,2000
phiwol,Rrestaurantbareiss,6,1997,1999
phiwol,clalum,2,1997,1999
yosnag,Ryoshibynagaya,5,2016,9999
brwaw,Rtraube,3,99,99
frafec,Rlandhausfeckl,5,2000,9999
frafec,Rtantris,6,1978,1979
benchm,frafec,2,1978,1979
johfra,Rjean,3,99,99
thomer,Rmerklesrestaurant,3,99,99
alewul,Rvendome,6,99,99
alewul,Rtroyka,3,2020,9999
markok,Rtroyka,3,2020,9999
tobwey,Rhannappel,3,99,99
nelmue,Rschote,5,2009,9999
nelmue,Rorangerie,6,99,99
lutnie,nelmue,2,99,99
ralkne,Rerbprinz,3,99,99
filczm,Rbembergshäuschen,3,2018,9999
filczm,Rvendome,6,99,99
joawis,filczm,2,99,99
filczm,Roxklee,6,99,99
dangot,filczm,2,99,99
dansch,Ralteschuleklassenzimmer,5,99,99
kaylur,Rgourmetrestaurantnicoburkhardt,6,2019,2020
nicbur,kaylur,2,2019,2020
kaylur,Roettingersrestaurant,3,2023,9999
quibru,Rdasgrace,3,2020,9999
quibru,Rkai3,6,99,99
felgab,quibru,2,99,99
rendit,Raltwyk,3,99,99
eriarn,Rphilippsoldan,3,2015,9999
benrus,Rcarmelogreco,5,2010,9999
cargre,Rcarmelogreco,3,2017,9999
valmat,Rernosbistro,3,99,99
marweg,Rmaintowerrestaurantundlounge,3,99,99
masoae,Rmasajapanesecuisine,3,99,99
phigia,Rrestaurantvillamerton,3,99,99
ricsaw,Rsevenswans,3,2018,9999
ricsaw,Rrestaurantvillamerton,6,99,99
phigia,ricsaw,2,99,99
danple,Rweinsinn,3,99,99
micschl,Rmichaelsleitenberg,3,99,99
danrau,Rgenießerstube,3,2007,9999
chrste,Rchristianandfriendstastekitchen,3,99,99
edmsch,Rwernersrestaurant,3,99,99
nicwied,Reckert,3,2014,9999
micque,Rmühlenhelle,3,2007,9999
chrbau,Rspeiseberg,3,2024,9999
dangeo,Rratsstuben,3,99,99
stefät,Rjellyfish,5,2019,9999
stefät,Rfavoriterestaurant,6,99,99
tobsch,stefät,2,99,99
heiweh,Rlandhausscherrer,3,1981,9999
heiweh,Rlandhausscherrer,5,1981,9999
wahnou,Rpiment,3,2000,9999
wahnou,Rpiment,5,2000,9999
wahnou,Rschwarzwaldstube,6,1991,1992
mauost,Rzeik,3,2018,9999
mauost,Rzeik,5,2018,9999
thowoh,Rhandwerk,3,2016,9999
thowoh,Rhandwerk,5,2016,9999
robräd,Roben,3,2017,9999
robräd,Roben,5,2017,9999
petnie,Rlavalleeverte,3,2018,9999
petnie,Rhirschen,6,99,99
conkai,Rletable,3,2020,9999
flovog,Rcamersschlossrestaurant,3,2015,9999
flovog,Rvictorsfinediningbychristianbau,6,2009,2010
flovog,Raloisdallmayrfinedining,6,2010,2011
chrfle,Rchevalblanc,3,2018,9999
Igoyak,Rtawayamafine,3,2022,9999
Rpavoimburghotelfalkenstein,Igoyak,4,99,99
Igoyak,Rsilberdistel,6,99,99
joamal,Rmalathounis,3,1993,9999
joamal,Rmalathounis,5,1993,9999
thobell,Rschlossloersfeld,3,1992,9999
thobell,Rschlossloersfeld,5,1992,9999
dirsch,Rweinschänkeschlossgroenesteyn,3,2018,9999
dirsch,Rweinschänkeschlossgroenesteyn,5,2018,9999
dirsch,Rtantris,6,2000,2004
dirsch,Rvendome,6,2005,2006
joawis,dirsch,2,2005,2006
chrgra,Rchristiansrestaurantgasthofgrainer,3,1990,9999
chrgra,Rchristiansrestaurantgasthofgrainer,5,1990,9999
Rchristiansrestaurantgasthofgrainer,chrgra,4,99,1982
chrgra,Rrestaurantbareiss,6,1985,1988
mansch,Rschwarzgourmet,3,2017,9999
mansch,Rschwarzgourmet,5,2017,9999
mansch,Rtantris,6,1980,1981
mansch,Rrestaurantbareiss,3,1982,1989
fredes,Rlaudensacksgourmetrestaurant,3,2009,9999
fredes,Rcolombirestaurant,6,99,99
frasey,Rgotthardts,3,99,9999
miksch,Rschillersmanufaktur,3,2004,9999
miksch,Rschillersmanufaktur,5,2004,9999
robcar,Ralfredo,3,1973,9999
robcar,Ralfredo,5,1973,9999
eriwer,Rastrein,3,2019,9999
eriwer,Rastrein,5,2019,9999
marrad,Rlacuisinerademacher,3,2019,9999
marrad,Rlacuisinerademacher,5,2019,9999
marrad,Rwaldhotelsonnora,6,99,99
leohof,Rlasociete,3,2021,9999
leohof,Rsölringhof,6,99,99
leohof,Raqua,6,99,99
tobbec,Rmaibeck,3,2013,9999
tobbec,Rmaibeck,5,2013,9999
janmai,Rmaibeck,3,2013,9999
janmai,Rmaibeck,5,2013,9999
maxlor,Rmaximilianlorenz,3,2018,9999
maxlor,Rmaximilianlorenz,5,2018,9999
Rzurpost,maxlor,4,99,99
chrwil,maxlor,1,99,99
sonbau,Rneobiota,3,2018,9999
sonbau,Rneobiota,5,2018,9999
erische,Rneobiota,3,2018,9999
erische,Rneobiota,5,2018,9999
sonbau,Rgutlärchenhof,6,2008,2017
sonbau,Rgutlärchenhof,3,2014,2017
Rhalbedelsgasthaus,sonbau,4,2004,2007
erische,Rvendome,6,2010,2013
erische,Rlasociete,6,2013,2013
erische,Rgästehausklauserfort,6,2013,2014
erische,Rgutlärchenhof,6,2014,2017
erische,Rgutlärchenhof,3,2015,2017
enrsab,Rpottkind,3,2018,9999
enrsab,Rpottkind,5,2018,9999
mirgau,Rtaku,3,99,99
tholös,Rzurtant,3,2014,9999
tholös,Rzurtant,5,2014,9999
andwid,Rursprung,3,2017,9999
andwid,Rursprung,5,2017,9999
Roettingersrestaurant,andwid,4,99,2010
andwid,Ratelier,6,2011,2013
stebra,Rleosbystephanbrandl,3,2017,9999
stebra,Rimschiffchen,3,1999,2001
raizei,Richweißeinhausamsee,3,2005,9999
jochel,Rstorchen,3,99,99
jochel,Rstorchen,5,99,99
frihel,Rstorchen,3,99,99
frihel,Rstorchen,5,99,99
danfeh,Radler,3,2006,9999
danfeh,Rlandhausfeckl,6,2004,2005
rolpie,Rseoküchenhandwerk,3,99,9999
hanhäg,Rgasthofzumbad,3,2007,9999
hanhäg,Rlandhausfeckl,6,2003,2005
margri,Rkeidenzellerhof,3,99,9999
lisang,Rfrieda,3,2018,9999
lisang,Rfrieda,5,2018,9999
andrei,Rfrieda,3,2018,9999
andrei,Rfrieda,5,2018,9999
Rfalco,lisang,4,2008,99
detsch,Rstadtpfeiffer,3,2001,9999
alehoh,R360°,3,2016,9999
alehoh,R360°,5,2016,9999
tonneu,Rvillino,3,2017,9999
roypet,Rwullenwever,3,1990,9999
roypet,Rwullenwever,5,1990,9999
roypet,Rlandhausscherrer,6,99,99
heiweh,roypet,2,99,99
tobsch,Rfavoriterestaurant,3,2020,9999
tobsch,Rrestaurantvillamerton,6,99,99
tobsch,Rlafleur,6,99,99
phiste,Rsteinstraube,3,2019,9999
phiste,Rsteinstraube,5,2019,9999
phiste,Rente,6,99,99
phiste,Rfavoriterestaurant,6,99,99
phiste,Rwaldhotelsonnora,6,99,99
erischu,Rdoblers,3,2023,9999
antsar,Ranthonyskitchen,3,2015,9999
antsar,Ranthonyskitchen,5,2015,9999
antsar,Rsteinheuersrestaurantzuraltenpost,6,99,99
marphi,Rcasala,3,2008,9999
marphi,Rschwarzwaldstube,6,2002,2004
marphi,Rwielandshöhe,6,2004,2008
andhil,Rdasmarktrestaurant,3,2010,9999
andhil,Rdasmarktrestaurant,5,2010,9999
margam,Racquarello,3,1994,9999
margam,Racquarello,5,1994,9999
margam,Rtantris,6,1980,1986
flober,Rgabelspiel,3,2016,9999
flober,Rgabelspiel,5,2016,9999
flober,Rtantris,6,99,99
natleb,Rlesdeux,3,2020,9999
natleb,Ratelier,6,99,99
natleb,Rmeiereidirkluther,6,99,99
martau,Rmountainhubgourmet,3,2023,9999
martau,Rschwarzwaldstube,6,99,99
martau,Rjellyfish,6,2018,2019
martau,Rweinsinn,6,2019,2020
joslei,Rmural,3,2018,9999
Rsölringhof,joslei,4,2014,2017
joslei,Ratelier,6,2017,2018
domkäp,Rshowroom,3,2017,9999
tobbac,Rshowroom,3,2022,9999
jürwol,Rsparklingbistro,3,2015,9999
jürwol,Rsparklingbistro,5,2015,9999
benchm,Rtantrisdna,3,2021,9999
sigsch,Rwerneckhofsigischelling,3,2021,9999
sigsch,Rwerneckhofsigischelling,5,2021,9999
sigsch,Rtantris,6,2006,2021
harrüs,Rrüsselslandhaus,3,1992,9999
harrüs,Rrüsselslandhaus,5,1992,9999
claurr,Raltebaiz,3,2018,9999
claurr,Rwielandshöhe,6,1992,1994
claurr,Rspeisemeisterei,6,1994,1995
claurr,Rfünf,6,2015,2018
claurr,Raltebaiz,5,2018,9999
chrdet,Rletemple,3,1992,9999
chrdet,Rletemple,5,1992,9999
olisch,Rletemple,3,1992,9999
olisch,Rletemple,5,1992,9999
chrdet,Rwaldhotelsonnora,6,99,99
olisch,Rwaldhotelsonnora,6,99,99
tobschl,Rburgnideggenbrockelschlimbach,3,2017,9999
herbro,Rburgnideggenbrockelschlimbach,3,2017,9999
